name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
pt bank mandiri (persero) tbk.,bankmandiri.co.id,1998.0,banking,10001+,"jakarta, jakarta raya, indonesia",indonesia,linkedin.com/company/bank-mandiri,10268,15124
pt. bank negara indonesia (persero) tbk.,bni.co.id,1946.0,banking,10001+,"jakarta, jakarta raya, indonesia",indonesia,linkedin.com/company/pt.-bank-negara-indonesia-persero-tbk.,6316,8566
pt.pertamina (persero),pertamina.com,1957.0,oil & energy,10001+,"jakarta, jakarta raya, indonesia",indonesia,linkedin.com/company/pertamina,5277,8237
bii,bii.co.id,1959.0,banking,10001+,"jakarta, jakarta raya, indonesia",indonesia,linkedin.com/company/bank-internasional-indonesia,4719,6243
telkomsel,telkomsel.com,1995.0,telecommunications,10001+,"selatan, east java, indonesia",indonesia,linkedin.com/company/telkomsel,4488,7733
pt pln (persero),pln.co.id,1961.0,utilities,10001+,"jakarta, jakarta raya, indonesia",indonesia,linkedin.com/company/pt-pln-persero-,4423,5741
pt hm sampoerna tbk,sampoerna.com,1913.0,tobacco,10001+,"jakarta, jakarta raya, indonesia",indonesia,linkedin.com/company/pt-hm-sampoerna-tbk,4331,6590
telekomunikasi indonesia,telkom.co.id,1884.0,information technology and services,10001+,"jakarta, jakarta raya, indonesia",indonesia,linkedin.com/company/telekomunikasi-indonesia,4288,7313
pt bank rakyat indonesia (persero) tbk,bri.co.id,1895.0,banking,10001+,"jakarta, jakarta raya, indonesia",indonesia,linkedin.com/company/pt-bank-rakyat-indonesia-persero-tbk,3632,5385
prudential indonesia (pt prudential life assurance),prudential.co.id,1995.0,insurance,10001+,"jakarta, jakarta raya, indonesia",indonesia,linkedin.com/company/prudential-indonesia-pt-prudential-life-assurance-,3627,5283
indosat,indosatooredoo.com,1967.0,telecommunications,10001+,"jakarta, jakarta raya, indonesia",indonesia,linkedin.com/company/indosat,3613,6833
bank danamon indonesia,danamon.co.id,1956.0,banking,10001+,"jakarta, jakarta raya, indonesia",indonesia,linkedin.com/company/bank-danamon-indonesia,3599,9603
cimb niaga,cimbniaga.com,1955.0,banking,10001+,"jakarta, jakarta raya, indonesia",indonesia,linkedin.com/company/pt--bank-cimb-niaga-tbk,3360,6901
pt bank central asia tbk,bca.co.id,1957.0,banking,5001 - 10000,"jakarta, jakarta raya, indonesia",indonesia,linkedin.com/company/pt-bank-central-asia-tbk,3258,6142
pt. xl axiata tbk,xl.co.id,1989.0,telecommunications,5001 - 10000,"jakarta, jakarta raya, indonesia",indonesia,linkedin.com/company/pt.-xl-axiata-tbk,3040,6496
