name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
petronas,petronas.com,1974.0,oil & energy,10001+,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/petronas,10013,17359
sinsilog's network and marketing,lagendaperang.blogspot.com,,marketing and advertising,10001+,"pitas, sabah, malaysia",malaysia,linkedin.com/company/sinsilog's-network-and-marketing,8815,8852
maybank,maybank.com,1960.0,banking,10001+,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/maybank,5239,10475
kementerian pelajaran malaysia,moe.gov.my,,education management,10001+,,malaysia,linkedin.com/company/kementerian-pelajaran-malaysia,4998,5491
telekom malaysia,tm.com.my,1984.0,telecommunications,10001+,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/telekom-malaysia,3897,5840
cimb,cimb.com,,financial services,10001+,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/cimb,3505,7351
malaysia airlines,malaysiaairlines.com,1972.0,airlines/aviation,10001+,"sepang, selangor, malaysia",malaysia,linkedin.com/company/malaysia-airlines,3488,7131
airasia,airasia.com,2001.0,airlines/aviation,10001+,"sepang, selangor, malaysia",malaysia,linkedin.com/company/airasia,3439,5320
universiti teknologi malaysia,utm.my,1972.0,higher education,5001 - 10000,"johor bahru, johor, malaysia",malaysia,linkedin.com/company/universiti-teknologi-malaysia,2812,4343
rhb bank,rhbbank.com.my,,banking,5001 - 10000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/rhb-bank,2667,5023
tenaga nasional berhad,tnb.com.my,1949.0,utilities,5001 - 10000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/tenaga-nasional-berhad,2546,3711
universiti putra malaysia,upm.edu.my,1931.0,education management,5001 - 10000,"serdang baharu, selangor, malaysia",malaysia,linkedin.com/company/universiti-putra-malaysia,2506,3907
astro,astro.com.my,1994.0,broadcast media,5001 - 10000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/astro,1980,4054
sapurakencana petroleum berhad,sapuraenergy.com,2012.0,oil & energy,5001 - 10000,,malaysia,linkedin.com/company/sapura-energy-berhad,1891,3511
自由企业家联盟 freedom entrepreneurs alliance （自企盟）,ziqimeng.com,2014.0,civic & social organization,5001 - 10000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/自由企业家联盟,1888,1904
universiti sains malaysia,usm.my,,higher education,5001 - 10000,"george town, pulau pinang, malaysia",malaysia,linkedin.com/company/universiti-sains-malaysia,1887,3141
public mutual berhad,publicmutual.com.my,,financial services,5001 - 10000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/public-mutual-berhad,1771,2086
celcom,celcom.com.my,1988.0,telecommunications,5001 - 10000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/celcom,1704,3248
