name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
fonterra,fonterra.com,2001.0,dairy,10001+,"auckland, auckland, new zealand",new zealand,linkedin.com/company/fonterra,7005,14466
suncorp group,suncorp.com.au,,financial services,10001+,"auckland, auckland, new zealand",new zealand,linkedin.com/company/suncorp,6377,16078
the university of auckland,auckland.ac.nz,,higher education,10001+,"auckland, auckland, new zealand",new zealand,linkedin.com/company/the-university-of-auckland,4895,13977
air new zealand,airnewzealand.com,1940.0,airlines/aviation,10001+,"auckland, auckland, new zealand",new zealand,linkedin.com/company/air-new-zealand,3931,8347
auckland council,aucklandcouncil.govt.nz,2010.0,government administration,5001 - 10000,"auckland, auckland, new zealand",new zealand,linkedin.com/company/auckland-council,3227,7629
datacom,datacom.co.nz,1965.0,information technology and services,5001 - 10000,"brisbane, queensland, australia",new zealand,linkedin.com/company/datacom,3005,7723
ministry of education of new zealand,education.govt.nz,,education management,5001 - 10000,,new zealand,linkedin.com/company/ministry-of-education-new-zealand,2885,5497
university of otago,otago.ac.nz,1869.0,higher education,5001 - 10000,"dunedin, otago, new zealand",new zealand,linkedin.com/company/university-of-otago,2747,6990
asb bank,asb.co.nz,1847.0,banking,5001 - 10000,"auckland, auckland, new zealand",new zealand,linkedin.com/company/asb-bank,2700,5940
spark new zealand,sparknz.co.nz,1987.0,telecommunications,5001 - 10000,"auckland, auckland, new zealand",new zealand,linkedin.com/company/spark-new-zealand,2486,10376
massey university,massey.ac.nz,1927.0,higher education,5001 - 10000,"palmerston north, wellington, new zealand",new zealand,linkedin.com/company/massey-university,2480,6162
department of corrections- nz,corrections.govt.nz,,government administration,5001 - 10000,"wellington, wellington, new zealand",new zealand,linkedin.com/company/department-of-corrections,2378,4295
bnz,bnz.co.nz,1861.0,banking,5001 - 10000,"auckland, auckland, new zealand",new zealand,linkedin.com/company/bankofnewzealand,2326,6220
harcourts real estate,harcourts.net,1888.0,real estate,5001 - 10000,"newmarket, auckland, new zealand",new zealand,linkedin.com/company/harcourts,2224,3874
beca,beca.com,1918.0,civil engineering,5001 - 10000,"auckland, auckland, new zealand",new zealand,linkedin.com/company/beca,2219,4779
auckland university of technology,aut.ac.nz,1895.0,higher education,5001 - 10000,"auckland, auckland, new zealand",new zealand,linkedin.com/company/autuni,2144,5027
victoria university of wellington,victoria.ac.nz,1897.0,higher education,5001 - 10000,,new zealand,linkedin.com/company/victoria-university-of-wellington,2116,6944
fulton hogan,fultonhogan.com,1933.0,construction,5001 - 10000,"christchurch, canterbury, new zealand",new zealand,linkedin.com/company/fulton-hogan_2,1888,3956
doc,doc.govt.nz,1987.0,government administration,5001 - 10000,"wellington, florida, united states",new zealand,linkedin.com/company/docgovtnz,1735,3040
university of canterbury,canterbury.ac.nz,1873.0,higher education,5001 - 10000,"christchurch, canterbury, new zealand",new zealand,linkedin.com/company/university-of-canterbury,1681,4813
inland revenue nz,ird.govt.nz,,government administration,5001 - 10000,"te aro, wellington, new zealand",new zealand,linkedin.com/company/inland-revenue-nz,1668,4220
"ministry of business, innovation and employment",mbie.govt.nz,2012.0,government administration,1001 - 5000,"wellington, wellington, new zealand",new zealand,linkedin.com/company/ministry-of-business-innovation-and-employment,1558,3693
xero,xero.com,2006.0,computer software,1001 - 5000,"wellington, wellington, new zealand",new zealand,linkedin.com/company/xero,1512,2395
auckland dhb,adhb.govt.nz,,hospital & health care,1001 - 5000,"auckland, auckland, new zealand",new zealand,linkedin.com/company/auckland-district-health-board,1417,2808
